DeploymentID,ServiceID,ApplicationID,EnvironmentID,Owner,StatusCode,StatusLabel,DeploymentDate,DeploymentDuration,CommitHash,CommitMessage,ArtifactDigest,ArtifactVersion,PipelineRunID,PipelineURL,PreviousDeploymentID,RollbackDeploymentID,HealthCheckStatus,SecurityScanStatus,ComplianceCheckStatus,CanaryDeployment,CanaryPercentage,BlueGreenDeployment,FeatureFlags,DataMigrationRequired,RollbackAuthorized,ApprovedBy,ApprovalDate,Notes
DEP-SPARK-001,SRV-SPARK-001,APP-SPARK-001,ENV-005,Norman Hawkins,STS-004,Active,2026-06-30T05:45:00Z,,93d87d3eaa0482d57672603b75e17bf3b63ddb53,feat: TypeScript bullmq-queue-service + GraphQL schema for The Spark,,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching src/mcp/ - no tracked CI artifact or pipeline run exists for it yet - columns left blank rather than fabricated
DEP-GRID-001,SRV-GRID-001,APP-GRID-001,ENV-005,Tyler Towncroft,STS-004,Active,2026-06-25T20:15:00Z,,df4ed5e55a372628d9678815da8b0fc4c96e6511,fix: Forgejo plugins Woodpecker CI Renovate Mattermost integration,,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching src/workflow/ - artifact and pipeline columns intentionally blank
DEP-INF-001,SRV-INF-001,APP-INF-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-07-12T01:45:00Z,,a3df9128b51b05cc5324f2be938f69f1b07113c6,Add role/access/relations registries academy badges DSM/ESM governance (#210),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/infinity-auth/ - artifact and pipeline columns intentionally blank
DEP-VOID-001,SRV-VOID-001,APP-VOID-001,ENV-005,Prometheus,STS-002,Building,2026-06-29T21:30:00Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,Security hardening: defusedxml XXE secrets CSPRNG Cosmos DB parameterization nosec B104 annotations (#177),,,,,,,HEALTH-002,SCAN-002,COMP-002,FALSE,,FALSE,,TRUE,TRUE,Cornelius MacIntyre,,In-flight CF Worker to self-hosted migration - real commit touching workers/vault-service/
DEP-WORKSHOP-001,SRV-WORKSHOP-001,APP-WORKSHOP-001,ENV-005,Larry Lowhammer,STS-004,Active,2026-07-12T11:00:00Z,,8fbc80b8839be7dbe0fa14b47ce3c2aefcd547c0,ops(the-workshop): topology-aware recovery script systemd unit and 522 runbook (#212),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching deploy/forgejo/ - see deploy/forgejo/RUNBOOK.md
DEP-OBS-001,SRV-OBS-001,APP-OBS-001,ENV-005,Norman Hawkins,STS-004,Active,2026-06-29T21:35:00Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,Security hardening: defusedxml XXE secrets CSPRNG Cosmos DB parameterization nosec B104 annotations (#177),,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/observatory/ - artifact and pipeline columns intentionally blank
DEP-PORTAL-001,SRV-PORTAL-001,APP-PORTAL-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-06-30T04:50:28Z,,9849b4e623dbdf99ad9aab67a721b75851da129a,security: fix all CodeRabbit critical/major findings from PR #181 review,,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,"Real commit touching workers/infinity-portal-service/ - artifact and pipeline columns intentionally blank, matching the workbook's existing convention"
DEP-ONE-001,SRV-ONE-001,APP-ONE-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-06-29T20:59:23Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,"Security hardening: defusedxml XXE, secrets CSPRNG, Cosmos DB parameterization, nosec B104 annotations (#177)",,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/infinity-one-service/ - artifact and pipeline columns intentionally blank
DEP-ADMIN-001,SRV-ADMIN-001,APP-ADMIN-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-06-29T20:59:23Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,"Security hardening: defusedxml XXE, secrets CSPRNG, Cosmos DB parameterization, nosec B104 annotations (#177)",,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/infinity-admin-service/ - artifact and pipeline columns intentionally blank
DEP-SHARDS-001,SRV-SHARDS-001,APP-SHARDS-001,ENV-005,The Guardian (Anchor: Orb of Orisis),STS-004,Active,2026-06-29T20:59:23Z,,d06f3b13d07b1c829428c3e224402db9ffb3f44a,"Security hardening: defusedxml XXE, secrets CSPRNG, Cosmos DB parameterization, nosec B104 annotations (#177)",,,,,,,HEALTH-001,SCAN-001,COMP-001,FALSE,,FALSE,,FALSE,TRUE,Cornelius MacIntyre,,Real commit touching workers/infinity-shards-service/ - artifact and pipeline columns intentionally blank
